user,Gender?,College,Whiskey Sour,Old Fashion,Whiskey Coke,Pickle Back,Tequila Sunrise,Margarita,Freddy��Fudpucker,Bacardi Cocktail,Rum and Coke,Mojito,Daiquiri,Malibu,Blue Hawaii,Mai Tai,Gimlet,Gin and Tonic,French 75,White Russian,Cran Vodka,Appletini,Cosmo,Blue Guy,Screwdriver,Moscow Mule,Lemon Drop,Sex on the Beach,Mimosa,Long Island,SF Slide,"Please add you favorite drinks we may have missed (seperate multiple values with a ',')",Start Date (UTC),Submit Date (UTC),Network ID
73014d47e2ced47128f1ab5c7a171c32,Female,College of Business,1,1,1,-1,1,1,0,1,1,1,1,1,0,0,-1,-1,0,0,1,0,1,-1,-1,0,1,1,1,1,0,,10/5/16 20:03,10/5/16 20:06,dd70057ed9
c2a1779cdd2c8a31a10e77a1a54a10de,Male,College of Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Water,10/5/16 20:06,10/5/16 20:07,d2d9563fdb
92dc520b2668ebfb7b5c63bc7520c288,Male,DGS,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Water,10/5/16 20:09,10/5/16 20:10,dfc47a3f60
904170095f25aa40212e86d25d84b09f,Male,Other,0,0,-1,0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,10/5/16 20:22,10/5/16 20:25,5a671e742f
95d4abf9a7b17d739cb51058e4e0ca93,Female,College of LAS,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,,10/5/16 20:40,10/5/16 20:41,31346e1370
282a6465aa7910c64c7f1792a96610c1,Female,College of LAS,1,0,1,0,-1,1,0,1,1,0,1,1,0,-1,0,0,0,0,1,1,1,1,-1,0,0,1,1,1,,,10/5/16 20:33,10/5/16 20:41,6a85ef16de
9ce5dab38ca24a2f5f4daa6d05667669,Male,College of Engineering,1,1,-1,-1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,-1,1,1,0,1,1,1,1,0,1,0,"Lemon Ginger Serendipity 
Cuba Libre
Sipping Whiskeys
 ",10/5/16 20:40,10/5/16 20:43,b620585450
c6120505cd785153e91c3d22c2ad103d,Male,College of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coke, sprite, water, diet coke, diet Pepsi, diet Fanta, diet Dr. Pepper, vitamin water, the blood of my enemies,  and the tears of my for extra salty. ",10/5/16 20:52,10/5/16 20:56,bb7ce3aade
684c532a69442243ef9687a40838b5b8,Female,Other,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,,10/5/16 20:59,10/5/16 21:02,ba05f7865e
334f14fa471f7b8e24e196e2c2fbaa68,Male,College of LAS,0,0,1,0,-1,1,0,1,1,-1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,0,1,1,-1,1,-1,0,,10/5/16 21:00,10/5/16 21:03,807d12718c
fc926e8671d041641cfb6aa40f87eed1,Female,College of LAS,-1,1,1,0,1,1,0,1,1,1,1,1,1,0,-1,-1,-1,1,1,1,1,0,,-1,1,0,-1,0,0,Irish cream wisky,10/5/16 21:03,10/5/16 21:06,5883458584
4e1d9fa1fe77c5d6481b2556e62603e8,Female,Other,-1,1,1,-1,1,1,-1,0,0,0,1,1,0,1,-1,-1,0,1,0,0,1,0,0,0,0,1,0,1,1,Strawberry daiquiri ,10/5/16 21:15,10/5/16 21:18,303264a670
1c9fd2575e7d00765c02130e80a4a193,Male,Other,1,1,-1,-1,1,1,0,1,-1,1,1,0,0,1,0,1,0,-1,-1,1,-1,1,1,-1,-1,1,1,1,0,,10/5/16 21:16,10/5/16 21:23,fba02497af
016b5e48c73a96a7b2b33d5273cd2713,Female,College of Business,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,0,0,1,1,1,-1,Bellini,10/5/16 21:28,10/5/16 21:33,2f9ca5abd8
dd9ea6a52af70600d493a59026e9abed,Male,College of LAS,0,0,1,0,0,1,0,1,1,1,1,-1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,,10/5/16 21:31,10/5/16 21:35,e0b29eb335
